Country or territory of origin,Refugees<sup>*</sup>,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations<sup>**</sup>,Total refugees and people in refugee-like situations assisted by UNHCR
Afghanistan,9217,,9217,
Islamic Rep. of Iran,6128,,6128,
Sri Lanka,4236,,4236,
Pakistan,3844,,3844,
Iraq,3437,,3437,
China,2815,,2815,
Stateless,2039,,2039,
Egypt,1550,,1550,
Zimbabwe,1021,,1021,
Libya,877,,877,
Lebanon,529,,529,
Myanmar,504,,504,
Turkey,449,,449,
Fiji,414,,414,
Bangladesh,413,,413,
Papua New Guinea,391,,391,
India,389,,389,
Syrian Arab Rep.,378,,378,
State of Palestine,299,,299,
Ethiopia,257,,257,
Nepal,200,,200,
Indonesia,193,,193,
Nigeria,178,,178,
Malaysia,174,,174,
Jordan,141,,141,
Viet Nam,126,,126,
Colombia,125,,125,
Eritrea,118,,118,
Kenya,106,,106,
