month,hour,year,aboard,fatalities
1,12,1950,32,32
3,20,1950,13,13
3,14,1950,83,80
4,23,1950,35,35
5,20,1950,16,16
5,10,1950,39,39
5,17,1950,2,1
6,22,1950,65,28
6,19,1950,15,15
6,21,1950,52,46
6,21,1950,53,40
6,23,1950,58,58
6,23,1950,29,29
7,4,1950,26,25
8,22,1950,20,12
8,0,1950,55,55
9,14,1950,23,16
9,5,1950,26,26
9,1,1950,51,23
10,19,1950,30,28
11,9,1950,48,48
11,8,1950,21,21
11,18,1950,52,52
12,13,1950,31,31
12,7,1950,38,38
12,13,1950,18,2
1,14,1951,28,7
1,12,1951,10,10
1,14,1951,17,14
1,8,1951,16,16
1,16,1951,20,20
3,9,1951,25,16
3,23,1951,53,53
4,20,1951,22,22
4,11,1951,21,21
4,11,1951,43,43
4,19,1951,11,11
5,12,1951,25,23
6,3,1951,40,40
6,2,1951,50,50
7,22,1951,10,10
7,0,1951,37,37
8,9,1951,5,5
8,4,1951,50,50
9,10,1951,3,3
9,12,1951,39,39
10,18,1951,23,23
10,19,1951,27,25
11,9,1951,29,1
12,7,1951,3,3
12,15,1951,56,56
12,22,1951,40,26
12,22,1951,4,4
12,15,1951,28,28
1,19,1952,23,23
1,1,1952,43,36
1,15,1952,23,23
2,0,1952,63,29
2,17,1952,31,31
2,2,1952,16,3
3,8,1952,38,38
3,10,1952,47,44
3,3,1952,21,17
4,8,1952,2,2
4,8,1952,37,37
4,12,1952,69,52
4,3,1952,29,29
4,4,1952,50,50
5,8,1952,18,1
6,11,1952,8,8
7,11,1952,27,1
8,1,1952,57,7
8,7,1952,18,18
8,21,1952,4,2
9,15,1952,1,1
10,8,1952,16,16
11,3,1952,19,19
11,14,1952,44,44
11,20,1952,52,52
11,0,1952,38,37
12,4,1952,41,37
12,6,1952,115,87
1,20,1953,35,27
1,20,1953,7,7
1,4,1953,40,40
1,4,1953,26,26
2,5,1953,39,39
2,19,1953,35,30
2,17,1953,46,46
3,3,1953,11,11
3,4,1953,23,23
3,18,1953,35,35
4,2,1953,25,7
4,23,1953,10,8
5,16,1953,43,43
5,1,1953,18,18
5,14,1953,20,19
5,15,1953,34,0
6,16,1953,129,129
7,8,1953,58,58
7,23,1953,46,44
7,12,1953,21,21
8,2,1953,42,4
8,22,1953,25,1
