Country or territory of asylum or residence,Year,Refugees,Refugees assisted by UNHCR
Algeria,2016,1,1
Angola,2016,288,16
Argentina,2016,5,
Australia,2016,89,
Austria,2016,4163,
Bangladesh,2016,3,3
Belarus,2016,1,
Belgium,2016,1280,
Benin,2016,1,1
Botswana,2016,300,300
Brazil,2016,46,3
Bulgaria,2016,49,49
Burundi,2016,21,21
Cambodia,2016,1,1
Canada,2016,2775,
Chad,2016,8,8
Chile,2016,2,
China,2016,102,102
Colombia,2016,11,
Costa Rica,2016,7,7
Croatia,2016,21,21
Cuba,2016,1,1
Cyprus,2016,67,10
Czechia,2016,22,
Dem. Rep. of the Congo,2016,34,34
Denmark,2016,1280,
Djibouti,2016,13021,13021
Egypt,2016,3384,3384
Eritrea,2016,2244,2244
Estonia,2016,4,
Ethiopia,2016,242014,242014
Finland,2016,3304,
France,2016,2524,
Gabon,2016,3,3
Gambia,2016,2,2
Germany,2016,7879,
Ghana,2016,55,55
Greece,2016,262,
Guinea,2016,1,1
"Hong Kong SAR, China",2016,27,
Hungary,2016,644,
Iceland,2016,7,
India,2016,554,554
Indonesia,2016,548,548
Ireland,2016,480,4
Italy,2016,14336,
Japan,2016,5,2
Jordan,2016,626,626
Kenya,2016,324448,324448
Kuwait,2016,421,318
Latvia,2016,7,
Lebanon,2016,19,19
Liberia,2016,2,2
Libya,2016,164,164
Liechtenstein,2016,47,
Lithuania,2016,22,
Luxembourg,2016,44,
Malawi,2016,52,52
Malaysia,2016,729,729
Malta,2016,1724,1000
Mauritania,2016,5,5
Mexico,2016,1,
Mozambique,2016,145,1
Namibia,2016,9,9
Nauru,2016,60,
Nepal,2016,17,17
Netherlands,2016,16512,
New Zealand,2016,18,
Niger,2016,9,9
Nigeria,2016,1,1
Norway,2016,8379,
Pakistan,2016,214,214
Panama,2016,1,
Papua New Guinea,2016,9,
Peru,2016,2,
Philippines,2016,17,9
Poland,2016,46,
Portugal,2016,51,
Qatar,2016,8,8
Rep. of Korea,2016,3,
Romania,2016,31,3
Rwanda,2016,3,3
Saudi Arabia,2016,16,16
Senegal,2016,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2016,3,3
Slovakia,2016,190,
Slovenia,2016,48,
South Africa,2016,28695,
