Country or territory of asylum or residence,Year,Refugees,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations,Total refugees and people in refugee-like situations assisted by UNHCR
Algeria,2016,1,1,1,1
Angola,2016,288,16,288,16
Argentina,2016,5,,5,
Australia,2016,89,,89,
Austria,2016,4163,,4163,
Bangladesh,2016,3,3,3,3
Belarus,2016,1,,1,
Belgium,2016,1280,,1280,
Benin,2016,1,1,1,1
Botswana,2016,300,300,300,300
Brazil,2016,46,3,46,3
Bulgaria,2016,49,49,49,49
Burundi,2016,21,21,21,21
Cambodia,2016,1,1,1,1
Canada,2016,2775,,2775,
Chad,2016,8,8,8,8
Chile,2016,2,,2,
China,2016,102,102,102,102
Colombia,2016,11,,11,
Costa Rica,2016,7,7,7,7
Croatia,2016,21,21,21,21
Cuba,2016,1,1,1,1
Cyprus,2016,67,10,67,10
Czechia,2016,22,,22,
Dem. Rep. of the Congo,2016,34,34,34,34
Denmark,2016,1280,,1280,
Djibouti,2016,13021,13021,13021,13021
Egypt,2016,3384,3384,3384,3384
Eritrea,2016,2244,2244,2244,2244
Estonia,2016,4,,4,
Ethiopia,2016,242014,242014,242014,242014
Finland,2016,3304,,3304,
France,2016,2524,,2524,
Gabon,2016,3,3,3,3
Gambia,2016,2,2,2,2
Germany,2016,7879,,7879,
Ghana,2016,55,55,55,55
Greece,2016,262,,262,
Guinea,2016,1,1,1,1
"Hong Kong SAR, China",2016,27,,27,
Hungary,2016,644,,644,
Iceland,2016,7,,7,
India,2016,554,554,554,554
Indonesia,2016,548,548,548,548
Ireland,2016,480,4,480,4
Italy,2016,14336,,14336,
Japan,2016,5,2,5,2
Jordan,2016,626,626,626,626
Kenya,2016,324448,324448,324448,324448
Kuwait,2016,421,318,421,318
Latvia,2016,7,,7,
Lebanon,2016,19,19,19,19
Liberia,2016,2,2,2,2
Libya,2016,164,164,164,164
Liechtenstein,2016,47,,47,
Lithuania,2016,22,,22,
Luxembourg,2016,44,,44,
Malawi,2016,52,52,52,52
Malaysia,2016,729,729,729,729
Malta,2016,1724,1000,1724,1000
Mauritania,2016,5,5,5,5
Mexico,2016,1,,1,
Mozambique,2016,145,1,145,1
Namibia,2016,9,9,9,9
Nauru,2016,60,,60,
Nepal,2016,17,17,17,17
Netherlands,2016,16512,,16512,
New Zealand,2016,18,,18,
Niger,2016,9,9,9,9
Nigeria,2016,1,1,1,1
Norway,2016,8379,,8379,
Pakistan,2016,214,214,214,214
Panama,2016,1,,1,
Papua New Guinea,2016,9,,9,
Peru,2016,2,,2,
Philippines,2016,17,9,17,9
Poland,2016,46,,46,
Portugal,2016,51,,51,
Qatar,2016,8,8,8,8
Rep. of Korea,2016,3,,3,
Romania,2016,31,3,31,3
Rwanda,2016,3,3,3,3
Saudi Arabia,2016,16,16,16,16
Senegal,2016,1,1,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2016,3,3,3,3
Slovakia,2016,190,,190,
Slovenia,2016,48,,48,
South Africa,2016,28695,,28695,
South Sudan,2016,4,4,4,4
Spain,2016,565,,565,
Sri Lanka,2016,1,1,1,1
Sudan,2016,184,184,184,184
Swaziland,2016,55,22,55,22
Sweden,2016,22548,,22548,
Switzerland,2016,4440,,4440,
Syrian Arab Rep.,2016,437,437,437,437
Thailand,2016,156,156,156,156
Togo,2016,1,1,1,1
Tunisia,2016,13,13,13,13
Turkey,2016,2239,2239,2239,2239
Uganda,2016,30689,30689,30689,30689
Ukraine,2016,133,41,133,41
United Arab Emirates,2016,17,17,17,17
United Kingdom,2016,5954,,5954,
United Rep. of Tanzania,2016,150,150,150,150
United States,2016,2319,,2319,
Uruguay,2016,3,,3,
Yemen,2016,255121,105389,255121,105389
Zambia,2016,2595,2595,2595,2595
Zimbabwe,2016,24,24,24,24
Algeria,2015,1,1,1,1
Angola,2015,288,16,288,16
Argentina,2015,5,,5,
Australia,2015,71,,71,
Austria,2015,3406,,3406,
Bangladesh,2015,6,6,6,6
Belarus,2015,1,1,1,1
Belgium,2015,648,,648,
Benin,2015,1,1,1,1
Botswana,2015,330,330,330,330
Brazil,2015,45,1,45,1
Bulgaria,2015,46,46,46,46
Burundi,2015,18,18,18,18
Cambodia,2015,1,1,1,1
Canada,2015,2531,,2531,
Chad,2015,12,12,12,12
Chile,2015,2,,2,
China,2015,117,117,117,117
Colombia,2015,11,,11,
Costa Rica,2015,7,7,7,7
Croatia,2015,15,15,15,15
Cuba,2015,1,1,1,1
Cyprus,2015,39,19,39,19
Czechia,2015,22,,22,
Dem. Rep. of the Congo,2015,34,34,34,34
Denmark,2015,1260,,1260,
Djibouti,2015,12323,12323,12323,12323
Ecuador,2015,7,,7,
Egypt,2015,4491,4491,4491,4491
Eritrea,2015,2485,2485,2485,2485
Estonia,2015,4,,4,
Ethiopia,2015,256669,256669,256669,256669
Finland,2015,3062,,3062,
France,2015,2007,,2007,
Gabon,2015,3,3,3,3
Gambia,2015,1,1,1,1
Germany,2015,4860,,4860,
Ghana,2015,59,59,59,59
Greece,2015,210,,240,
Guinea,2015,5,5,5,5
"Hong Kong SAR, China",2015,43,43,43,43
Hungary,2015,611,,611,
Iceland,2015,7,,7,
India,2015,465,465,465,465
Indonesia,2015,448,448,448,448
Ireland,2015,501,,501,
Italy,2015,13068,,13068,
Japan,2015,4,1,4,1
Jordan,2015,601,601,601,601
Kenya,2015,417920,417920,417920,417920
Kuwait,2015,286,286,286,286
Latvia,2015,7,,7,
Lebanon,2015,23,23,23,23
Liberia,2015,2,2,2,2
Libya,2015,164,164,164,164
Liechtenstein,2015,45,,45,
Lithuania,2015,22,,22,
Luxembourg,2015,38,,38,
