Country of Origin,Country or territory of asylum or residence,Year,Refugees<sup>*</sup>,Refugees assisted by UNHCR
Vietnam,Australia,2016,126,
Vietnam,Austria,2016,27,
Vietnam,Belgium,2016,40,
Vietnam,Brazil,2016,4,
Vietnam,Cambodia,2016,32,32
Vietnam,Canada,2016,41,
Vietnam,China,2016,317098,1
Vietnam,Côte d'Ivoire,2016,4,4
Vietnam,Cyprus,2016,1,
Vietnam,Czechia,2016,70,
Vietnam,Finland,2016,5,
Vietnam,France,2016,8008,
Vietnam,Germany,2016,1311,
Vietnam,Greece,2016,7,
Vietnam,"Hong Kong SAR, China",2016,2,
Vietnam,Hungary,2016,1,
Vietnam,Ireland,2016,7,
Vietnam,Italy,2016,9,
Vietnam,Japan,2016,2,1
Vietnam,Lithuania,2016,1,
Vietnam,Malaysia,2016,,
Vietnam,Netherlands,2016,9,
Vietnam,New Zealand,2016,8,
Vietnam,Norway,2016,48,
Vietnam,Paraguay,2016,6,
Vietnam,Peru,2016,1,
Vietnam,Philippines,2016,21,13
Vietnam,Poland,2016,15,
Vietnam,Romania,2016,1,
Vietnam,Slovakia,2016,1,
Vietnam,Spain,2016,1,
Vietnam,Sweden,2016,78,
Vietnam,Switzerland,2016,1084,
Vietnam,Thailand,2016,264,264
Vietnam,United Kingdom,2016,738,
Vietnam,United States,2016,264,
Vietnam,Yemen,2016,15,15
Vietnam,Australia,2015,94,
Vietnam,Austria,2015,32,
Vietnam,Belgium,2015,42,
Vietnam,Brazil,2015,4,
Vietnam,Cambodia,2015,45,45
Vietnam,Canada,2015,114,
Vietnam,China,2015,300896,1
Vietnam,Côte d'Ivoire,2015,9,9
Vietnam,Cyprus,2015,1,
Vietnam,Czechia,2015,70,
Vietnam,Ecuador,2015,3,
Vietnam,Finland,2015,3,
Vietnam,France,2015,8132,
Vietnam,Germany,2015,1357,
Vietnam,Greece,2015,7,
Vietnam,"Hong Kong SAR, China",2015,2,2
Vietnam,Hungary,2015,8,
Vietnam,Ireland,2015,7,
Vietnam,Italy,2015,8,
Vietnam,Japan,2015,19,4
Vietnam,Lithuania,2015,1,
Vietnam,Luxembourg,2015,1,
Vietnam,Malaysia,2015,1,1
Vietnam,Netherlands,2015,15,
Vietnam,New Zealand,2015,8,
Vietnam,Norway,2015,14,
Vietnam,Paraguay,2015,6,
Vietnam,Peru,2015,1,
Vietnam,Philippines,2015,8,
Vietnam,Poland,2015,15,
Vietnam,Romania,2015,1,
Vietnam,Slovakia,2015,1,
Vietnam,Spain,2015,3,
Vietnam,Sweden,2015,76,
Vietnam,Switzerland,2015,1130,
Vietnam,Thailand,2015,201,201
Vietnam,Ukraine,2015,5,
Vietnam,United Kingdom,2015,533,
Vietnam,United States,2015,266,
Vietnam,Yemen,2015,15,15
Vietnam,Australia,2014,93,
Vietnam,Austria,2014,36,
Vietnam,Belgium,2014,16,
Vietnam,Brazil,2014,4,
Vietnam,Cambodia,2014,33,33
Vietnam,Canada,2014,126,
Vietnam,China,2014,300896,1
Vietnam,Côte d'Ivoire,2014,9,9
Vietnam,Cyprus,2014,1,
Vietnam,Czechia,2014,68,
Vietnam,Denmark,2014,5,
Vietnam,Ecuador,2014,3,3
Vietnam,Finland,2014,3,
Vietnam,France,2014,8281,
Vietnam,Germany,2014,1449,
Vietnam,Greece,2014,7,
Vietnam,"Hong Kong SAR, China",2014,8,8
Vietnam,Ireland,2014,5,
Vietnam,Italy,2014,8,
Vietnam,Japan,2014,68,4
Vietnam,Lithuania,2014,1,
Vietnam,Luxembourg,2014,1,
Vietnam,Malaysia,2014,7,7
Vietnam,Netherlands,2014,24,
Vietnam,New Zealand,2014,4,
Vietnam,Norway,2014,14,
Vietnam,Paraguay,2014,6,
Vietnam,Peru,2014,1,
Vietnam,Philippines,2014,4,
Vietnam,Poland,2014,15,
Vietnam,Slovakia,2014,1,
Vietnam,Spain,2014,4,
Vietnam,Sweden,2014,78,
Vietnam,Switzerland,2014,1203,
Vietnam,Thailand,2014,99,99
Vietnam,Ukraine,2014,5,
Vietnam,United Kingdom,2014,546,
Vietnam,United States,2014,270,
Vietnam,Yemen,2014,15,15
Vietnam,Australia,2013,90,
Vietnam,Austria,2013,38,
Vietnam,Belgium,2013,15,
Vietnam,Brazil,2013,4,
Vietnam,Burkina Faso,2013,5,
Vietnam,Cambodia,2013,35,35
Vietnam,Canada,2013,132,
Vietnam,China,2013,300896,1
Vietnam,Côte d'Ivoire,2013,8,8
Vietnam,Cyprus,2013,1,
Vietnam,Czechia,2013,67,
Vietnam,Denmark,2013,6,
Vietnam,Ecuador,2013,3,3
Vietnam,Finland,2013,3,
Vietnam,France,2013,8528,
Vietnam,Gabon,2013,4,4
Vietnam,Germany,2013,1495,
Vietnam,Greece,2013,4,
Vietnam,"Hong Kong SAR, China",2013,7,7
Vietnam,Hungary,2013,1,
Vietnam,Ireland,2013,5,
Vietnam,Italy,2013,9,
Vietnam,Japan,2013,212,4
Vietnam,Lithuania,2013,1,
Vietnam,Luxembourg,2013,1,
Vietnam,Malaysia,2013,10,10
Vietnam,Netherlands,2013,28,
Vietnam,New Zealand,2013,3,
Vietnam,Norway,2013,16,
Vietnam,Paraguay,2013,6,
Vietnam,Peru,2013,1,
Vietnam,Philippines,2013,4,
Vietnam,Poland,2013,17,
Vietnam,Slovakia,2013,1,
Vietnam,Spain,2013,4,
Vietnam,Sweden,2013,82,
Vietnam,Switzerland,2013,1255,
Vietnam,Thailand,2013,119,119
Vietnam,Ukraine,2013,2,
Vietnam,United Kingdom,2013,710,
Vietnam,United States,2013,263,
Vietnam,Yemen,2013,15,15
Vietnam,Australia,2012,88,
Vietnam,Austria,2012,37,
Vietnam,Belgium,2012,48,
Vietnam,Brazil,2012,4,
Vietnam,Burkina Faso,2012,5,
Vietnam,Cambodia,2012,33,
Vietnam,Canada,2012,148,
Vietnam,China,2012,300897,1
Vietnam,Côte d'Ivoire,2012,8,8
Vietnam,Cyprus,2012,1,
Vietnam,Czechia,2012,65,
Vietnam,Denmark,2012,16,
Vietnam,Ecuador,2012,3,3
Vietnam,Finland,2012,2,
Vietnam,France,2012,8605,
