Lea State,LEA,ID,Year,Category,Instances,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,LEP
CA,Los Angeles Unified,622710,2000,Corporal punishment,,0,0,,,0,0,0,,0,0
CA,Los Angeles Unified,622710,2000,Out-of-school suspension,,165,1665,,,29600,13185,3680,,48295,13425
CA,Los Angeles Unified,622710,2000,Expulsions (total with or without educational services),,0,20,,,360,120,50,,550,70
CA,Los Angeles Unified,622710,2000,Expulsions without educational services,,0,5,,,50,20,5,,80,15
CA,Los Angeles Unified,622710,2000,Expulsions under zero-tolerance policies,,0,10,,,125,50,30,,215,20
CA,Los Angeles Unified,622710,2000,Total enrollment,,2050,45310,,,510050,91470,70815,,719700,305370
FL,Dade County School District,1200390,2000,Corporal punishment,,0,0,,,0,0,0,,0,0
FL,Dade County School District,1200390,2000,Out-of-school suspension,,20,115,,,12060,16560,2055,,30810,2175
FL,Dade County School District,1200390,2000,Expulsions (total with or without educational services),,0,0,,,10,0,5,,15,0
FL,Dade County School District,1200390,2000,Expulsions without educational services,,0,0,,,10,0,5,,15,0
FL,Dade County School District,1200390,2000,Expulsions under zero-tolerance policies,,0,0,,,0,0,0,,0,0
FL,Dade County School District,1200390,2000,Total enrollment,,295,4410,,,202550,110970,41125,,359345,65005
NV,Clark County School District,3200060,2000,Corporal punishment,,0,0,,,0,0,0,,0,0
NV,Clark County School District,3200060,2000,Out-of-school suspension,,65,415,,,2870,2475,5145,,10965,240
NV,Clark County School District,3200060,2000,Expulsions (total with or without educational services),,5,30,,,180,230,280,,725,15
NV,Clark County School District,3200060,2000,Expulsions without educational services,,0,0,,,5,20,15,,40,5
NV,Clark County School District,3200060,2000,Expulsions under zero-tolerance policies,,0,5,,,50,75,60,,195,5
NV,Clark County School District,3200060,2000,Total enrollment,,1960,15265,,,66715,31620,112750,,228315,33090
TX,Houston Isd,4823640,2000,Corporal punishment,,0,0,,,0,0,0,,0,0
TX,Houston Isd,4823640,2000,Out-of-school suspension,,10,145,,,11070,9835,920,,21980,4105
TX,Houston Isd,4823640,2000,Expulsions (total with or without educational services),,0,0,,,80,80,5,,165,30
TX,Houston Isd,4823640,2000,Expulsions without educational services,,0,0,,,0,0,0,,0,0
TX,Houston Isd,4823640,2000,Expulsions under zero-tolerance policies,,0,0,,,10,5,0,,15,0
TX,Houston Isd,4823640,2000,Total enrollment,,110,5825,,,106805,63715,20550,,197005,51325
FL,DADE,1200390,2004,Corporal punishment,,0,0,,,0,0,0,,0,0
FL,DADE,1200390,2004,Out-of-school suspension,,20,130,,,14110,15990,1920,,32165,2820
FL,DADE,1200390,2004,Expulsions (total with or without educational services),,0,0,,,0,0,0,,0,0
FL,DADE,1200390,2004,Expulsions without educational services,,0,0,,,0,0,0,,0,0
FL,DADE,1200390,2004,Total enrollment,,330,4040,,,214675,98520,35930,,353495,57445
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2004,Corporal punishment,,0,0,,,0,0,0,,0,0
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2004,Out-of-school suspension,,200,1025,,,8540,6100,7905,,23770,1375
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2004,Expulsions (total with or without educational services),,10,40,,,355,335,330,,1075,40
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2004,Expulsions without educational services,,0,0,,,5,5,10,,20,0
