"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2019,11,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",51.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,127.00,79.00,0.00,0.00,0.00,48.00,
2019,11,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",106.00,13.00,6.56,0.63,2.32,0.00,3.48,0.00,0.00,756.00,419.00,53.00,85.00,0.00,199.00,
2019,11,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",135.00,11.00,6.02,0.00,3.04,0.00,1.94,0.00,0.00,778.00,565.00,0.00,119.00,0.00,94.00,
2019,11,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",25.00,2.00,0.64,0.00,0.00,0.00,1.36,1.00,0.00,59.00,14.00,0.00,0.00,0.00,45.00,
2019,11,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",3043.00,311.00,78.62,7.03,93.13,0.00,132.21,0.00,3.00,21529.00,8522.00,487.00,3304.00,0.00,9216.00,
2019,11,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",51.00,7.00,2.83,0.13,2.52,0.00,1.52,0.00,0.00,286.00,110.00,14.00,76.00,0.00,86.00,
2019,11,"9E","Endeavor Air Inc.","AUS","Austin, TX: Austin - Bergstrom International",36.00,1.00,0.00,0.00,0.37,0.00,0.63,0.00,0.00,49.00,0.00,0.00,18.00,0.00,31.00,
2019,11,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",157.00,14.00,10.86,0.34,2.60,0.00,0.19,0.00,1.00,675.00,599.00,10.00,61.00,0.00,5.00,
2019,11,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",52.00,5.00,0.54,0.00,0.60,0.00,3.87,0.00,0.00,277.00,17.00,0.00,54.00,0.00,206.00,
2019,11,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",82.00,9.00,3.29,0.00,1.51,0.00,4.19,0.00,0.00,557.00,229.00,0.00,47.00,0.00,281.00,
2019,11,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",19.00,4.00,0.10,0.00,0.55,0.00,3.34,0.00,0.00,245.00,5.00,0.00,19.00,0.00,221.00,
2019,11,"9E","Endeavor Air Inc.","BIS","Bismarck/Mandan, ND: Bismarck Municipal",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2019,11,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",77.00,7.00,1.21,1.00,2.17,0.00,2.62,0.00,0.00,238.00,45.00,49.00,47.00,0.00,97.00,
2019,11,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",48.00,6.00,3.00,0.00,1.46,0.00,1.54,0.00,0.00,361.00,230.00,0.00,51.00,0.00,80.00,
2019,11,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",296.00,36.00,6.37,0.83,18.28,0.00,10.51,0.00,1.00,2050.00,378.00,25.00,884.00,0.00,763.00,
2019,11,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",196.00,14.00,7.15,1.00,0.57,0.00,5.28,0.00,0.00,628.00,360.00,66.00,11.00,0.00,191.00,
2019,11,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",218.00,31.00,5.08,0.37,10.73,0.00,14.82,0.00,2.00,2196.00,431.00,117.00,511.00,0.00,1137.00,
2019,11,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",167.00,19.00,7.87,0.00,2.00,0.00,9.14,1.00,0.00,1420.00,847.00,0.00,58.00,0.00,515.00,
2019,11,"9E","Endeavor Air Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",217.00,17.00,5.90,0.09,2.13,0.00,8.89,0.00,0.00,1773.00,856.00,12.00,69.00,0.00,836.00,
2019,11,"9E","Endeavor Air Inc.","CAE","Columbia, SC: Columbia Metropolitan",43.00,7.00,2.64,0.00,1.56,0.00,2.80,0.00,0.00,333.00,138.00,0.00,45.00,0.00,150.00,
2019,11,"9E","Endeavor Air Inc.","CAK","Akron, OH: Akron-Canton Regional",52.00,5.00,1.20,0.00,0.83,0.00,2.97,0.00,0.00,137.00,27.00,0.00,19.00,0.00,91.00,
2019,11,"9E","Endeavor Air Inc.","CHA","Chattanooga, TN: Lovell Field",85.00,10.00,2.93,0.00,2.33,0.00,4.75,0.00,0.00,537.00,96.00,0.00,108.00,0.00,333.00,
2019,11,"9E","Endeavor Air Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",176.00,20.00,8.58,1.00,1.24,0.00,9.18,0.00,0.00,1593.00,514.00,73.00,55.00,0.00,951.00,
2019,11,"9E","Endeavor Air Inc.","CHS","Charleston, SC: Charleston AFB/International",28.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,39.00,21.00,0.00,0.00,0.00,18.00,
2019,11,"9E","Endeavor Air Inc.","CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",79.00,8.00,1.27,0.00,2.05,0.00,4.68,0.00,0.00,303.00,43.00,0.00,53.00,0.00,207.00,
2019,11,"9E","Endeavor Air Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",329.00,44.00,13.86,0.04,11.02,0.00,19.08,0.00,0.00,2364.00,798.00,12.00,393.00,0.00,1161.00,
2019,11,"9E","Endeavor Air Inc.","CLT","Charlotte, NC: Charlotte Douglas International",254.00,36.00,14.03,0.00,6.73,0.00,15.23,0.00,1.00,2812.00,976.00,0.00,295.00,0.00,1541.00,
2019,11,"9E","Endeavor Air Inc.","CMH","Columbus, OH: John Glenn Columbus International",73.00,9.00,3.68,0.00,4.17,0.00,1.15,0.00,0.00,345.00,131.00,0.00,146.00,0.00,68.00,
2019,11,"9E","Endeavor Air Inc.","CRW","Charleston/Dunbar, WV: Yeager",39.00,3.00,0.12,0.00,0.00,0.00,2.88,0.00,0.00,85.00,3.00,0.00,0.00,0.00,82.00,
2019,11,"9E","Endeavor Air Inc.","CSG","Columbus, GA: Columbus Airport",110.00,12.00,7.43,0.00,1.72,0.00,2.85,0.00,0.00,1715.00,1451.00,0.00,63.00,0.00,201.00,
2019,11,"9E","Endeavor Air Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",799.00,97.00,29.54,1.50,17.62,0.00,48.33,4.00,0.00,6695.00,2368.00,58.00,660.00,0.00,3609.00,
2019,11,"9E","Endeavor Air Inc.","CWA","Mosinee, WI: Central Wisconsin",136.00,15.00,5.57,0.08,5.84,0.00,3.51,1.00,1.00,1137.00,450.00,20.00,224.00,0.00,443.00,
2019,11,"9E","Endeavor Air Inc.","DAY","Dayton, OH: James M Cox/Dayton International",68.00,7.00,2.14,1.00,0.29,0.00,3.56,0.00,0.00,771.00,177.00,135.00,50.00,0.00,409.00,
2019,11,"9E","Endeavor Air Inc.","DCA","Washington, DC: Ronald Reagan Washington National",102.00,12.00,2.72,0.00,5.93,0.00,3.35,0.00,0.00,529.00,57.00,0.00,368.00,0.00,104.00,
2019,11,"9E","Endeavor Air Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",100.00,17.00,2.89,0.53,6.59,0.00,7.00,0.00,0.00,839.00,281.00,33.00,234.00,0.00,291.00,
2019,11,"9E","Endeavor Air Inc.","DSM","Des Moines, IA: Des Moines International",259.00,44.00,13.53,1.91,12.25,0.00,16.31,0.00,0.00,3423.00,1220.00,538.00,686.00,0.00,979.00,
2019,11,"9E","Endeavor Air Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",1410.00,197.00,46.10,7.80,60.48,0.00,82.62,11.00,1.00,17346.00,5764.00,994.00,4117.00,0.00,6471.00,
2019,11,"9E","Endeavor Air Inc.","EVV","Evansville, IN: Evansville Regional",182.00,20.00,9.69,0.00,4.56,0.00,5.75,2.00,1.00,1185.00,696.00,0.00,181.00,0.00,308.00,
2019,11,"9E","Endeavor Air Inc.","EWN","New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",60.00,7.00,3.41,0.00,0.45,0.00,3.14,0.00,1.00,430.00,279.00,0.00,26.00,0.00,125.00,
2019,11,"9E","Endeavor Air Inc.","EWR","Newark, NJ: Newark Liberty International",60.00,16.00,1.55,1.92,10.41,0.00,2.12,0.00,0.00,862.00,56.00,202.00,514.00,0.00,90.00,
2019,11,"9E","Endeavor Air Inc.","EYW","Key West, FL: Key West International",29.00,4.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,830.00,811.00,0.00,0.00,0.00,19.00,
2019,11,"9E","Endeavor Air Inc.","FAR","Fargo, ND: Hector International",25.00,5.00,1.21,0.00,2.54,0.00,1.26,0.00,0.00,250.00,73.00,0.00,71.00,0.00,106.00,
2019,11,"9E","Endeavor Air Inc.","FAY","Fayetteville, NC: Fayetteville Regional/Grannis Field",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
